"user_id","record_id","flow_id","amount","pay_status","pay_type","pay_success_time","message"
"77297","08151488133269100029","G3034400133097C","760.00","1","3","2018-01-02 16:22:12","财务为用户充值:"
"77297","08151488144202100031","G3034400133097C","1140.00","1","3","2018-01-02 16:24:02","财务为用户充值:"
"239","08151548244403400026","20180109200040011100470092301409","0.01","1","3","2018-01-09 15:20:44","财务为用户充值:首付"
"239","08151548260012900028","20180109200040011100470092301409","0.06","1","3","2018-01-09 15:23:20","财务为用户充值:首付"
"939","08151598431989900026","20180115200040011100780097761238","715.00","1","3","2018-01-15 10:45:19","财务为用户充值:租金"
"939","08151600971482200030","20180115200040011100780097761238","715.00","1","3","2018-01-15 17:48:34","财务为用户充值:租金"
"549","08151609370402900061","K4965000926851C","2257.00","1","3","2018-01-16 17:08:24","财务为用户充值:租金"
"549","08151609370409000062","K4965000926851C","2257.00","1","3","2018-01-16 17:08:24","财务为用户充值:租金"
"125043","08151609511330200067","G9788400585131C","2234.40","1","3","2018-01-16 17:31:53","财务为用户充值:首付"
"125043","08151609511421900068","G9788400585131C","2234.40","1","3","2018-01-16 17:31:54","财务为用户充值:首付"
"125043","08151609511548000069","G9788400585131C","2234.40","1","3","2018-01-16 17:31:55","财务为用户充值:首付"
"173410","08151616840771900010","20180116200040011100490097027257","1180.00","1","3","2018-01-17 13:53:27","财务为用户充值:首付"
"173410","08151616849434500011","20180116200040011100490097027257","8.00","1","3","2018-01-17 13:54:54","财务为用户充值:首付，分了2次，第一次1180，一次8元，共1188元"
"89160","08151624075944500084","G9719500031397C","6310.00","1","3","2018-01-18 09:59:19","财务为用户充值:首付+租金"
"89160","08151661081319100072","G9719500031397C","1433.00","1","3","2018-01-22 16:46:53","财务为用户充值:5800-1235-1056=3509.
6310-3509=2801
2801-1368=1433"
