"id","record_id","user_id","amount","pay_status","pay_type","credentials","recharge_user_id","flow_id","message","source","recharge_type","pay_account","pay_success_time","createtime","updatetime"
"4663","08151485775043500007","1142","49.00","1","3","[]","0","4663","财务为用户充值:","","1","","2018-01-02 09:49:10","2018-01-02 09:49:10","2018-01-02 09:49:10"
"4706","08151495062246500005","138033","392.00","1","3","[]","0","4706","财务为用户充值:退款充值","","1","","2018-01-03 11:37:02","2018-01-03 11:37:02","2018-01-03 11:37:02"
"4731","08151503377171100011","165914","1500.00","1","3","[]","0","4731","财务为用户充值:退回押金","","1","","2018-01-04 10:42:51","2018-01-04 10:42:51","2018-01-04 10:42:51"
"4766","08151513375136500111","1133","196.00","1","3","[]","0","4766","财务为用户充值:退回一机器的钱","","1","","2018-01-05 14:29:11","2018-01-05 14:29:11","2018-01-05 14:29:11"
"4770","08151513771646000116","1161","330.00","1","3","[]","0","4770","财务为用户充值:退款，订单不关闭，退2台金额和快递费","","1","","2018-01-05 15:35:16","2018-01-05 15:35:16","2018-01-05 15:35:16"
"4773","08151514173288100129","571","1890.00","1","3","[]","0","4773","财务为用户充值:2018010471330882","","1","","2018-01-05 16:42:12","2018-01-05 16:42:12","2018-01-05 16:42:12"
"4776","08151514339722900136","309","9702.00","1","3","[]","0","4776","财务为用户充值:前期订单确认的，现在余下的钱充值到余额再支付。","","1","","2018-01-05 17:09:57","2018-01-05 17:09:57","2018-01-05 17:09:57"
"4882","08151540253936600011","4826","169.00","1","3","[]","0","4882","财务为用户充值:","","1","","2018-01-08 17:08:59","2018-01-08 17:08:59","2018-01-08 17:08:59"
"4972","08151554663729600007","71144","180.00","1","3","[]","0","4972","财务为用户充值:客户退余额，重新下一台","","1","","2018-01-10 09:10:37","2018-01-10 09:10:37","2018-01-10 09:10:37"
"5289","08151598431989900026","939","715.00","1","3","[]","0","20180115200040011100780097761238重复","财务为用户充值:租金","","1","","2018-01-15 10:45:19","2018-01-15 10:45:19","2018-01-15 10:45:19"
"5295","08151598716591500033","310","1481.00","1","3","[]","0","2018011321001004850284352785","财务为用户充值:租金","","1","","2018-01-15 11:32:45","2018-01-15 11:32:45","2018-01-15 11:32:45"
"5322","08151599889592200012","211","750.00","1","3","[]","0","5322","财务为用户充值:04149810445551600006 退款","","1","","2018-01-15 14:48:15","2018-01-15 14:48:15","2018-01-15 14:48:15"
"5434","08151609107342000059","140612","627.00","1","3","[]","0","5434","财务为用户充值:双11红包返现","","1","","2018-01-16 16:24:33","2018-01-16 16:24:33","2018-01-16 16:24:33"
"5439","08151609370402900061","549","2257.00","1","3","[]","0","K4965000926851C重复","财务为用户充值:租金","","1","","2018-01-16 17:08:24","2018-01-16 17:08:24","2018-01-16 17:08:24"
"5444","08151609511330200067","125043","2234.40","1","3","[]","0","G9788400585131C重复","财务为用户充值:首付","","1","","2018-01-16 17:31:53","2018-01-16 17:31:53","2018-01-16 17:31:53"
"5445","08151609511421900068","125043","2234.40","1","3","[]","0","G9788400585131C重复","财务为用户充值:首付","","1","","2018-01-16 17:31:54","2018-01-16 17:31:54","2018-01-16 17:31:54"
